Series ID,Year,Period,Label,Value
LNS17900000,2018,M01,2018 Jan,1609
LNS17900000,2018,M02,2018 Feb,1532
LNS17900000,2018,M03,2018 Mar,1684
LNS17900000,2018,M04,2018 Apr,1592
LNS17900000,2018,M05,2018 May,1575
LNS17900000,2018,M06,2018 Jun,1452
LNS17900000,2018,M07,2018 Jul,1610
LNS17900000,2018,M08,2018 Aug,1490
LNS17900000,2018,M09,2018 Sep,1609
LNS17900000,2018,M10,2018 Oct,1428
LNS17900000,2018,M11,2018 Nov,1558
LNS17900000,2018,M12,2018 Dec,1373
LNS17900000,2019,M01,2019 Jan,1406
LNS17900000,2019,M02,2019 Feb,1798
LNS17900000,2019,M03,2019 Mar,1458
LNS17900000,2019,M04,2019 Apr,1537
LNS17900000,2019,M05,2019 May,1515
LNS17900000,2019,M06,2019 Jun,1450
LNS17900000,2019,M07,2019 Jul,1387
LNS17900000,2019,M08,2019 Aug,1434
LNS17900000,2019,M09,2019 Sep,1518
LNS17900000,2019,M10,2019 Oct,1448
LNS17900000,2019,M11,2019 Nov,1398
LNS17900000,2019,M12,2019 Dec,1404
LNS17900000,2020,M01,2020 Jan,1369
LNS17900000,2020,M02,2020 Feb,1475
LNS17900000,2020,M03,2020 Mar,1464
LNS17900000,2020,M04,2020 Apr,2549
LNU02574638,2018,A01,2018 Annual,2.8
LNU02574638,2019,A01,2019 Annual,2.7
